1.76	0.55	1.65	0.90	1.39	1.91	12.36	0.07	0.40
2.33	0.55	1.73	1.15	1.30	1.91	12.29	0.09	0.40
2.05	0.57	1.99	1.30	1.51	1.92	12.23	0.09	0.40
1.84	0.57	1.87	1.46	1.18	1.92	12.19	0.09	0.40
2.15	0.61	2.31	1.53	1.74	1.91	12.14	0.10	0.40
2.14	0.64	2.01	1.45	1.40	1.89	11.99	0.10	0.40
2.11	0.67	2.21	1.63	1.50	1.88	11.94	0.10	0.40
2.04	0.65	2.01	1.50	1.35	1.87	11.89	0.10	0.40
1.95	0.64	1.98	1.57	1.22	1.86	11.85	0.10	0.40
1.72	0.65	1.81	1.39	1.17	1.86	11.80	0.09	0.40
1.97	0.63	1.82	1.36	1.20	1.85	11.75	0.09	0.40
1.56	0.66	1.41	0.99	1.00	1.83	11.65	0.08	0.40
1.42	0.58	1.34	0.71	1.13	1.83	11.77	0.08	0.40
1.27	0.55	1.06	0.56	0.90	1.83	11.89	0.06	0.40
1.34	0.47	1.19	0.32	1.15	2.25	10.45	0.03	0.40
1.57	0.51	1.28	0.54	1.16	2.24	10.51	0.05	0.40
1.60	0.58	1.36	0.71	1.17	2.22	10.55	0.06	0.40
1.84	0.62	1.73	0.70	1.58	2.21	10.60	0.07	0.40
2.01	0.65	1.62	0.82	1.40	2.19	10.66	0.08	0.40
1.86	0.69	1.77	1.07	1.42	2.19	10.71	0.08	0.40
1.96	0.73	1.93	1.23	1.50	2.19	10.80	0.08	0.40
2.30	0.76	2.09	1.16	1.75	2.19	10.84	0.09	0.40
2.01	0.79	2.01	1.35	1.51	2.19	10.89	0.11	0.40
2.30	0.77	2.03	1.16	1.67	2.19	10.94	0.11	0.40
1.91	0.74	1.96	1.18	1.57	2.19	10.98	0.11	0.40
1.85	0.75	1.94	1.24	1.50	2.19	11.01	0.09	0.40
1.94	0.67	1.80	1.29	1.26	2.19	11.07	0.08	0.40
1.96	0.65	1.81	1.08	1.45	2.19	11.10	0.08	0.40
2.01	0.60	1.78	0.93	1.52	2.18	11.15	0.08	0.40
1.76	0.50	1.57	1.00	1.22	2.18	11.20	0.08	0.40
1.71	0.43	1.56	0.78	1.36	2.17	11.26	0.06	0.40
1.32	0.39	1.26	0.63	1.10	2.17	11.31	0.06	0.40
1.19	0.30	1.24	0.62	1.08	2.16	11.36	0.04	0.40
1.72	0.67	1.45	0.65	1.30	1.88	16.00	0.07	0.40
1.98	0.73	1.73	0.96	1.44	1.90	16.00	0.07	0.40
2.10	0.77	1.86	1.06	1.53	2.12	16.00	0.08	0.40
2.40	0.87	2.24	1.33	1.81	2.13	16.00	0.09	0.40
2.25	0.81	2.20	1.28	1.79	2.13	16.00	0.08	0.40
1.94	0.75	2.01	1.10	1.68	2.13	16.00	0.08	0.40
2.15	0.77	2.15	1.11	1.85	2.14	16.00	0.08	0.40
1.96	0.71	2.04	0.80	1.88	2.14	16.00	0.06	0.40
1.77	0.62	1.51	0.72	1.33	2.15	16.00	0.06	0.40
