0.83	0.16	1.16	1.06	0.48	0.59	5.26	0.09	0.90
1.11	0.21	1.30	1.17	0.57	0.64	7.14	0.09	0.90
0.93	0.23	1.24	1.12	0.54	0.61	5.88	0.09	0.90
0.96	0.24	1.31	1.05	0.78	0.59	10.53	0.10	0.90
0.79	0.11	1.29	1.21	0.44	0.56	7.14	0.11	0.90
0.77	0.07	1.30	1.21	0.49	0.53	12.50	0.12	0.90
0.73	0.02	1.22	1.16	0.36	0.41	11.11	0.09	0.90
0.72	0.03	1.27	1.18	0.47	0.37	14.29	0.10	0.90
0.73	0.14	1.15	1.00	0.57	0.37	14.29	0.09	0.90
0.75	0.09	1.30	1.11	0.68	0.35	15.39	0.10	0.90
0.56	0.02	1.00	0.93	0.39	0.48	5.88	0.09	0.90
0.86	0.15	1.39	1.30	0.49	0.53	10.53	0.10	0.90
1.09	0.22	1.47	1.22	0.82	0.57	10.00	0.08	0.90
0.97	0.17	1.32	1.21	0.54	0.59	12.50	0.08	0.90
1.08	0.14	1.53	1.34	0.75	0.50	10.00	0.10	0.90
1.06	0.11	1.48	1.15	0.94	0.49	10.00	0.10	0.90
0.93	0.18	1.27	1.14	0.56	0.51	10.00	0.13	0.90
1.04	0.22	1.28	1.08	0.70	0.48	10.00	0.12	0.90
1.14	0.34	1.31	1.15	0.63	0.50	9.09	0.11	0.90
1.03	0.38	1.24	1.00	0.73	0.49	9.09	0.09	0.90
1.00	0.15	1.40	1.21	0.72	0.46	10.00	0.11	0.90
1.06	0.26	1.19	0.95	0.73	0.83	4.00	0.09	0.90
1.09	0.25	1.38	1.16	0.74	0.85	10.00	0.10	0.90
1.10	0.34	1.35	1.16	0.71	0.85	9.09	0.09	0.90
1.31	0.40	1.50	1.26	0.83	0.87	10.00	0.10	0.90
1.35	0.32	1.72	1.43	0.96	0.78	11.11	0.10	0.90
1.11	0.30	1.32	1.20	0.55	1.32	5.00	0.10	0.90
1.05	0.41	1.21	1.10	0.49	1.46	5.56	0.09	0.90
0.89	0.24	1.12	0.88	0.69	1.38	5.00	0.10	0.90
1.13	0.33	1.25	0.96	0.80	1.34	5.26	0.10	0.90
1.13	0.39	1.16	0.92	0.71	1.28	5.00	0.09	0.90
0.90	0.40	0.92	0.77	0.50	1.41	5.56	0.09	0.90
1.13	0.27	1.56	1.35	0.79	1.17	10.00	0.10	0.90
1.17	0.28	1.53	1.20	0.95	1.08	11.77	0.10	0.90
0.96	0.20	1.42	1.27	0.65	0.83	11.11	0.12	0.90
1.25	0.34	1.44	1.16	0.86	0.88	10.53	0.10	0.90
1.18	0.33	1.35	1.01	0.90	0.64	10.53	0.10	0.90
1.69	0.51	1.76	1.35	1.12	1.42	10.53	0.09	0.90
1.59	0.56	1.52	1.09	1.06	1.43	10.00	0.10	0.90
1.49	0.41	1.70	1.23	1.18	1.94	12.50	0.10	0.90
1.95	0.47	1.91	1.55	1.12	1.85	6.25	0.11	0.90
0.94	0.34	0.98	0.56	0.81	1.73	11.77	0.06	0.90
1.16	0.30	1.39	0.95	1.02	1.78	11.11	0.08	0.90
1.22	0.15	1.49	0.80	1.26	1.69	11.11	0.09	0.90
1.06	0.16	1.56	0.74	1.38	1.77	11.77	0.09	0.90
2.04	0.51	1.96	1.63	1.10	1.96	10.53	0.10	0.90
1.04	0.21	1.41	0.66	1.25	1.79	11.77	0.08	0.90
0.88	0.32	0.93	0.54	0.75	1.93	10.00	0.06	0.90
1.72	0.47	2.08	1.78	1.08	1.95	11.77	0.11	0.90
1.69	0.46	1.91	1.58	1.09	1.54	7.69	0.09	0.90
0.66	0.14	0.91	0.67	0.62	2.73	7.14	0.06	0.90
0.87	0.16	1.12	0.71	0.88	2.66	7.14	0.07	0.90
1.36	0.38	1.60	1.04	1.22	2.88	7.69	0.11	0.90
1.36	0.42	1.54	1.09	1.09	3.11	7.14	0.11	0.90
1.61	0.41	1.67	1.14	1.23	2.90	7.14	0.11	0.90
1.16	0.38	1.38	0.76	1.16	3.26	8.33	0.09	0.90
1.20	0.43	1.34	0.65	1.17	3.57	8.33	0.07	0.90
1.29	0.26	1.67	1.30	1.04	2.75	7.14	0.11	0.90
1.76	0.75	1.66	1.19	1.17	2.42	11.77	0.10	0.90
2.03	0.87	1.83	1.08	1.48	2.47	11.11	0.10	0.90
2.14	0.83	2.30	1.42	1.82	2.43	11.77	0.10	0.90
2.36	0.91	2.16	1.42	1.63	2.41	12.50	0.10	0.90
2.56	0.87	2.16	1.40	1.65	2.35	13.33	0.10	0.90
2.03	0.83	2.07	1.44	1.50	2.15	12.50	0.10	0.90
2.01	0.73	2.24	1.52	1.65	1.99	12.50	0.10	0.90
1.77	0.60	1.96	1.32	1.46	2.15	13.33	0.10	0.90
1.81	0.61	1.75	0.95	1.47	1.81	14.29	0.08	1.65
1.48	0.51	1.69	1.13	1.26	2.00	12.50	0.11	1.65
2.10	0.62	2.04	1.17	1.68	1.93	12.50	0.09	1.65
1.77	0.64	1.60	1.04	1.22	1.92	11.77	0.09	1.65
1.79	0.64	1.84	1.04	1.53	1.86	11.77	0.09	1.65
1.62	0.59	1.89	0.72	1.75	1.85	12.50	0.09	1.65
1.59	0.57	1.93	0.86	1.72	1.80	13.33	0.10	1.65
1.54	0.40	1.93	1.10	1.59	1.90	12.50	0.10	1.65
0.76	0.30	0.75	0.40	0.63	1.05	5.26	0.06	1.65
0.68	0.21	0.69	0.41	0.56	1.11	5.88	0.05	1.65
0.61	0.10	0.76	0.60	0.47	0.59	11.11	0.08	1.65
0.77	0.07	0.78	0.62	0.48	0.59	10.53	0.06	1.65
0.58	0.08	0.68	0.56	0.39	0.46	10.53	0.06	1.65
0.55	0.05	0.73	0.62	0.39	0.39	11.11	0.06	1.65
0.55	0.01	1.05	0.92	0.51	0.39	10.53	0.11	1.65
0.83	0.26	0.83	0.43	0.72	0.91	7.69	0.07	1.65
0.76	0.26	0.80	0.53	0.60	1.32	7.14	0.06	1.65
